彩种名称,投注人数,投注金额,中奖金额,撤单金额,返点金额,盈利,盈率,source_file
传统1分彩,16,35530.00,32916.05,32.00,23.04,2590.91,7.29%,20200610.xls
北京赛车,9,34431.00,45086.16,52.00,12.80,-10667.96,-30.98%,20200610.xls
传统1分赛车,13,32943.00,28314.66,1158.00,0.60,4627.74,14.05%,20200610.xls
森林舞会,8,32355.00,29381.80,0.00,61.68,2911.53,9.00%,20200610.xls
万人龙虎,11,28605.00,19129.30,0.00,3.25,9472.45,33.11%,20200610.xls
山东11选5,12,26681.20,45536.23,450.20,0.00,-18855.03,-70.67%,20200610.xls
腾讯1.5分彩,12,26586.68,29045.44,0.50,0.00,-2458.76,-9.25%,20200610.xls
1分11选5,14,14413.38,13320.39,450.88,3.93,1089.07,7.56%,20200610.xls
梭哈,9,14200.00,14643.75,0.00,48.90,-492.65,-3.47%,20200610.xls
万人牛牛,8,14175.00,12559.15,0.00,0.00,1615.85,11.40%,20200610.xls
3分赛车,12,13835.36,12376.13,3528.00,0.30,1458.93,10.54%,20200610.xls
江西11选5,8,10729.00,923.47,0.00,0.00,9805.53,91.39%,20200610.xls
1分幸运28,8,8987.00,8453.31,5.00,0.00,533.69,5.94%,20200610.xls
澳门六合彩,5,7501.00,6966.90,0.00,325.00,209.10,2.79%,20200610.xls
万人炸金花,2,6950.00,7860.30,0.00,0.00,-910.30,-13.10%,20200610.xls
传统欢乐生肖,4,6671.00,7970.40,45.00,48.88,-1348.28,-20.21%,20200610.xls
传统北京赛车,7,6433.00,8852.03,0.00,1.79,-2420.82,-37.63%,20200610.xls
广东11选5,227,5845.12,8330.51,282.00,7.08,-2492.48,-42.64%,20200610.xls
5分赛车,7,4555.20,4334.98,0.00,30.10,190.12,4.17%,20200610.xls
安徽快3,11,4292.00,4934.16,20.00,0.31,-642.47,-14.97%,20200610.xls
飞禽走兽,3,4090.00,4515.30,0.00,0.60,-425.90,-10.41%,20200610.xls
六合秒秒,6,4058.00,2891.91,0.00,14.55,1151.54,28.38%,20200610.xls
腾讯5分彩,5,3833.20,3805.38,0.00,0.00,27.82,0.73%,20200610.xls
江苏11选5,9,3769.92,4007.22,10.00,0.14,-237.44,-6.30%,20200610.xls
传统疯狂飞艇,7,3568.00,4590.75,0.00,2.36,-1025.11,-28.73%,20200610.xls
腾讯3分彩,4,3148.40,2482.20,0.00,0.00,666.21,21.16%,20200610.xls
秒秒彩,2,2884.00,3589.23,0.00,0.00,-705.23,-24.45%,20200610.xls
江苏快3,15,2695.00,4148.40,101.00,2.84,-1456.24,-54.03%,20200610.xls
骰宝,7,2555.00,2656.60,0.00,8.05,-109.65,-4.29%,20200610.xls
万人射龙门,1,2410.00,3631.00,0.00,0.00,-1221.00,-50.66%,20200610.xls
上海快3,6,2398.00,3652.02,8.00,0.01,-1254.03,-52.29%,20200610.xls
3分彩,5,2182.20,2645.05,0.00,1.16,-464.01,-21.26%,20200610.xls
万人百家乐,4,1420.00,1053.35,0.00,0.04,366.61,25.82%,20200610.xls
北京快3,6,1048.00,1892.88,0.00,0.09,-844.97,-80.63%,20200610.xls
上海11选5,7,987.60,2314.13,74.00,0.00,-1326.53,-134.32%,20200610.xls
百人德扑,2,940.00,871.20,0.00,0.00,68.80,7.32%,20200610.xls
万人红黑大战,3,881.00,1124.98,0.00,2.30,-246.28,-27.95%,20200610.xls
5分彩,3,874.00,948.88,0.00,1.30,-76.18,-8.72%,20200610.xls
百人三公,3,810.00,1135.50,0.00,0.00,-325.50,-40.19%,20200610.xls
传统5分赛车,3,786.00,924.96,0.00,0.84,-139.80,-17.79%,20200610.xls
甘肃快3,6,782.00,1490.94,440.00,0.00,-708.94,-90.66%,20200610.xls
吉林快3,7,752.00,817.35,3.00,6.48,-71.83,-9.55%,20200610.xls
贵州快3,4,734.00,1386.00,15.00,0.00,-652.00,-88.83%,20200610.xls
湖北快3,7,686.00,595.98,8.00,0.01,90.01,13.12%,20200610.xls
传统10分彩,3,580.00,669.83,0.00,2.81,-92.64,-15.97%,20200610.xls
河北快3,3,577.00,0.00,0.00,0.00,577.00,100.00%,20200610.xls
传统10分快3,1,485.00,0.00,0.00,2.43,482.58,99.50%,20200610.xls
奔驰宝马,3,420.00,271.75,0.00,0.35,147.90,35.21%,20200610.xls
传统10分赛车,4,288.00,451.94,0.00,0.72,-164.66,-57.17%,20200610.xls
传统3分赛车,3,271.00,47.52,0.00,3.00,220.48,81.36%,20200610.xls
广西快3,3,245.00,239.58,0.00,0.03,5.39,2.20%,20200610.xls
百人牌九,2,195.00,132.30,0.00,1.50,61.20,31.38%,20200610.xls
百人二八杠,2,185.00,99.00,0.00,0.00,86.00,46.49%,20200610.xls
射龙门,3,170.00,159.40,0.00,0.00,10.60,6.24%,20200610.xls
幸运28,1,18.00,12.00,0.00,0.00,6.00,33.33%,20200610.xls
百人炸金花,1,10.00,0.00,0.00,0.10,9.90,99.00%,20200610.xls
5分六合,1,2.00,4.18,0.00,0.00,-2.18,-109.00%,20200610.xls
小计,,8995294.92,8626471.88,113577.22,14556.76,354266.34,3.94%,20200610.xls
1分快3,745,4955730.00,4726424.78,56342.00,8708.41,220596.81,4.45%,20200611.xls
极速快3,161,1312841.00,1268389.35,0.00,2732.10,41719.55,3.18%,20200611.xls
3分快3,149,438062.00,406858.20,57453.00,245.93,30957.87,7.07%,20200611.xls
欢乐生肖,17,391342.00,460107.92,1020.00,6.14,-68772.06,-17.57%,20200611.xls
龙虎斗,46,257300.00,257363.90,0.00,3189.60,-3253.50,-1.26%,20200611.xls
1分彩,51,139399.66,131140.90,162.80,31.20,8227.56,5.90%,20200611.xls
1分赛车,32,126324.16,124013.05,518.00,26.22,2284.90,1.81%,20200611.xls
5分快3,46,123750.00,120101.21,11967.00,99.81,3548.98,2.87%,20200611.xls
1分六合,31,59368.00,69531.38,16.00,11.82,-10175.20,-17.14%,20200611.xls
北京赛车,9,56182.00,47701.17,0.00,0.00,8480.83,15.10%,20200611.xls
疯狂飞艇,29,48734.36,50144.39,443.96,25.53,-1435.56,-2.95%,20200611.xls
百人牛牛,8,43815.00,42492.40,0.00,5.90,1316.70,3.01%,20200611.xls
百家乐,8,41610.00,47568.00,0.00,2.33,-5960.33,-14.32%,20200611.xls
传统1分彩,18,41598.00,45316.13,8.00,49.77,-3767.91,-9.06%,20200611.xls
传统1分赛车,13,38913.00,39837.12,2325.00,17.66,-941.78,-2.42%,20200611.xls
腾讯时时彩,31,34914.84,32010.06,47.90,0.00,2904.78,8.32%,20200611.xls
万人龙虎,10,21450.00,18606.50,100.00,18.06,2825.44,13.17%,20200611.xls
腾讯1.5分彩,8,20947.14,20168.20,0.00,0.00,778.94,3.72%,20200611.xls
广东11选5,492,12496.50,12495.42,52.00,7.99,-6.91,-0.06%,20200611.xls
1分11选5,19,11830.64,12740.70,329.62,42.29,-952.35,-8.05%,20200611.xls
5分彩,3,11652.64,12275.18,520.00,1.94,-624.48,-5.36%,20200611.xls
传统北京赛车,6,11343.00,17205.70,359.00,1.56,-5864.26,-51.70%,20200611.xls
极速赛车,21,10939.78,10708.16,0.00,77.12,154.50,1.41%,20200611.xls
3分赛车,12,10794.98,9787.81,0.00,8.40,998.77,9.25%,20200611.xls
梭哈,9,9815.00,6851.20,0.00,16.25,2947.55,30.03%,20200611.xls
澳门六合彩,4,8787.00,537.90,0.00,1.00,8248.10,93.87%,20200611.xls
万人炸金花,4,8565.00,9722.85,0.00,0.00,-1157.85,-13.52%,20200611.xls
1分幸运28,12,7881.00,8359.73,0.00,0.00,-478.73,-6.07%,20200611.xls
森林舞会,4,7590.00,7208.60,0.00,112.10,269.30,3.55%,20200611.xls
江苏快3,10,7038.00,6787.42,30.00,0.63,249.95,3.55%,20200611.xls
安徽快3,14,7011.00,7289.56,808.00,0.53,-279.09,-3.98%,20200611.xls
湖北快3,9,6473.00,8313.80,16.00,0.06,-1840.86,-28.44%,20200611.xls
万人红黑大战,4,6042.00,4637.40,270.00,17.54,1387.07,22.96%,20200611.xls
山东11选5,11,5723.40,5194.93,454.00,0.95,527.52,9.22%,20200611.xls
传统欢乐生肖,2,5571.00,2279.50,0.00,38.57,3252.94,58.39%,20200611.xls
红黑大战,7,5525.00,5237.80,0.00,5.39,281.81,5.10%,20200611.xls
骰宝,9,5315.00,5704.35,0.00,48.88,-438.23,-8.25%,20200611.xls
甘肃快3,8,5197.00,6621.07,180.00,0.02,-1424.09,-27.40%,20200611.xls
河北快3,12,4880.00,5295.70,411.00,0.55,-416.25,-8.53%,20200611.xls
北京快3,11,4658.00,2856.96,222.00,0.09,1800.96,38.66%,20200611.xls
秒秒彩,4,4400.00,4510.77,0.00,0.80,-111.57,-2.54%,20200611.xls
腾讯5分彩,2,4240.00,3999.10,0.00,0.00,240.90,5.68%,20200611.xls
腾讯3分彩,3,4101.60,3092.90,0.00,0.00,1008.70,24.59%,20200611.xls
传统疯狂飞艇,6,4025.00,2854.96,0.00,3.53,1166.51,28.98%,20200611.xls
万人射龙门,2,3475.00,3260.40,0.00,0.00,214.60,6.18%,20200611.xls
贵州快3,12,2596.00,4212.42,92.00,0.02,-1616.44,-62.27%,20200611.xls
吉林快3,8,2446.00,969.54,80.00,5.76,1470.70,60.13%,20200611.xls
上海11选5,8,1682.20,1429.86,0.00,0.60,251.75,14.97%,20200611.xls
飞禽走兽,5,1535.00,1910.40,0.00,5.66,-381.06,-24.82%,20200611.xls
奔驰宝马,3,1510.00,1230.90,0.00,4.25,274.85,18.20%,20200611.xls
江苏11选5,6,1474.00,2199.78,0.00,0.00,-725.78,-49.24%,20200611.xls
3分彩,6,1385.88,1996.27,0.00,0.58,-610.96,-44.08%,20200611.xls
上海快3,7,1362.00,1808.70,0.00,0.12,-446.82,-32.81%,20200611.xls
百人三公,2,1355.00,602.40,0.00,0.00,752.60,55.54%,20200611.xls
5分赛车,9,1146.52,1088.22,0.00,6.10,52.20,4.55%,20200611.xls
六合秒秒,7,886.00,735.74,0.00,0.15,150.11,16.94%,20200611.xls
百人炸金花,5,880.00,675.75,0.00,10.50,193.75,22.02%,20200611.xls
射龙门,4,870.00,806.30,0.00,0.00,63.70,7.32%,20200611.xls
广西快3,6,834.00,986.04,0.00,0.00,-152.04,-18.23%,20200611.xls
传统5分赛车,2,721.00,396.00,0.00,2.40,322.61,44.74%,20200611.xls
传统10分彩,3,719.00,1385.50,0.00,7.74,-674.24,-93.77%,20200611.xls
江西11选5,7,614.20,538.19,60.00,0.00,76.01,12.38%,20200611.xls
百人牌九,2,545.00,301.65,0.00,0.00,243.35,44.65%,20200611.xls
百人德扑,2,520.00,168.80,0.00,0.00,351.20,67.54%,20200611.xls
万人牛牛,6,497.00,441.28,0.00,0.99,54.73,11.01%,20200611.xls
幸运28,2,304.00,396.25,0.00,0.00,-92.25,-30.35%,20200611.xls
传统10分赛车,3,215.00,231.03,0.00,1.47,-17.49,-8.13%,20200611.xls
5分六合,3,156.00,94.30,0.00,5.60,56.10,35.96%,20200611.xls
传统3分赛车,1,141.00,109.96,0.00,5.64,25.41,18.02%,20200611.xls
百人二八杠,1,120.00,0.00,0.00,0.00,120.00,100.00%,20200611.xls
万人百家乐,2,25.00,20.00,0.00,0.00,5.00,20.00%,20200611.xls
小计,,8372191.50,8118339.81,134287.28,15614.25,238237.52,2.85%,20200611.xls
1分快3,733,5087651.00,4772801.38,71991.00,13200.50,301649.12,5.93%,20200612.xls
极速快3,166,2133424.00,2060799.63,0.00,1099.99,71524.39,3.35%,20200612.xls
3分快3,149,335745.00,319907.31,8298.00,365.23,15472.46,4.61%,20200612.xls
欢乐生肖,13,303714.00,353955.58,7257.00,7.05,-50248.63,-16.54%,20200612.xls
1分赛车,37,124726.70,117125.45,436.00,5.76,7595.49,6.09%,20200612.xls
5分快3,45,114115.00,119238.00,2906.00,67.57,-5190.57,-4.55%,20200612.xls
百家乐,4,106555.00,94741.95,0.00,0.70,11812.35,11.09%,20200612.xls
疯狂飞艇,28,100740.96,96862.50,90.60,3.81,3874.65,3.85%,20200612.xls
龙虎斗,38,96665.00,93195.00,0.00,555.38,2914.63,3.02%,20200612.xls
1分六合,26,88188.00,87729.24,62.00,71.01,387.75,0.44%,20200612.xls
1分彩,45,66627.28,64451.87,108.00,3.39,2172.02,3.26%,20200612.xls
飞禽走兽,6,54035.00,27589.05,0.00,25.76,26420.20,48.89%,20200612.xls
传统1分赛车,17,50394.00,50824.07,984.00,69.03,-499.10,-0.99%,20200612.xls
腾讯时时彩,30,41615.98,33648.29,25.60,0.07,7967.62,19.15%,20200612.xls
腾讯1.5分彩,7,40093.48,40884.55,0.00,0.00,-791.07,-1.97%,20200612.xls
百人牛牛,8,32840.00,30200.40,0.00,4.18,2635.43,8.03%,20200612.xls
红黑大战,6,28885.00,35767.85,0.00,4.19,-6887.04,-23.84%,20200612.xls
北京赛车,7,27708.08,30476.36,406.00,0.00,-2768.28,-9.99%,20200612.xls
1分11选5,17,21764.40,20089.76,381.60,3.96,1670.68,7.68%,20200612.xls
万人龙虎,12,19605.00,19361.35,15.00,20.43,223.22,1.14%,20200612.xls
传统1分彩,16,18472.00,16294.15,13.00,51.47,2126.39,11.51%,20200612.xls
万人炸金花,3,15640.00,16371.00,5.00,0.00,-731.00,-4.67%,20200612.xls
3分赛车,11,13720.68,10179.93,552.80,1.30,3539.45,25.80%,20200612.xls
5分赛车,8,11290.36,14215.06,9.00,0.37,-2925.07,-25.91%,20200612.xls
安徽快3,14,8942.00,6879.80,386.00,1.62,2060.58,23.04%,20200612.xls
江苏快3,12,8480.00,9749.64,30.00,2.71,-1272.35,-15.00%,20200612.xls
奔驰宝马,8,8225.00,7974.00,0.00,31.55,219.45,2.67%,20200612.xls
山东11选5,15,7596.60,8096.56,84.00,3.24,-503.20,-6.62%,20200612.xls
梭哈,10,6900.00,7157.25,0.00,1.50,-258.75,-3.75%,20200612.xls
森林舞会,4,6650.00,5631.40,0.00,36.08,982.53,14.77%,20200612.xls
腾讯5分彩,6,6619.60,10175.80,0.00,0.00,-3556.20,-53.72%,20200612.xls
广东11选5,9,6060.18,5700.22,234.00,0.00,359.96,5.94%,20200612.xls
极速赛车,13,5359.66,5424.57,0.00,49.51,-114.42,-2.13%,20200612.xls
百人三公,2,5125.00,10058.40,0.00,0.00,-4933.40,-96.26%,20200612.xls
贵州快3,6,4899.00,7844.76,0.00,0.07,-2945.83,-60.13%,20200612.xls
传统疯狂飞艇,5,4887.00,5567.80,0.00,9.00,-689.80,-14.11%,20200612.xls
腾讯3分彩,4,4287.40,9141.32,0.00,0.00,-4853.92,-113.21%,20200612.xls
万人牛牛,6,3939.00,4374.11,120.00,1.08,-436.19,-11.07%,20200612.xls
上海11选5,11,3497.00,3448.84,502.80,0.02,48.14,1.38%,20200612.xls
传统北京赛车,4,3406.00,1369.15,576.00,0.00,2036.85,59.80%,20200612.xls
万人射龙门,3,3065.00,3605.50,200.00,0.00,-540.50,-17.63%,20200612.xls
骰宝,6,3025.00,1827.80,400.00,23.40,1173.80,38.80%,20200612.xls
澳门六合彩,5,3005.00,3357.44,0.00,3.86,-356.30,-11.86%,20200612.xls
江苏11选5,8,2998.20,1772.89,280.00,0.00,1225.31,40.87%,20200612.xls
甘肃快3,9,2638.00,3630.03,150.00,0.14,-992.17,-37.61%,20200612.xls
1分幸运28,11,2375.00,2449.38,0.00,0.00,-74.38,-3.13%,20200612.xls
北京快3,7,2247.00,2063.16,450.00,0.20,183.65,8.17%,20200612.xls
秒秒彩,2,2208.00,2532.69,0.00,0.00,-324.69,-14.71%,20200612.xls
万人红黑大战,5,2015.00,2210.14,0.00,7.32,-202.46,-10.05%,20200612.xls
上海快3,8,1854.00,653.40,86.00,0.18,1200.42,64.75%,20200612.xls
湖北快3,10,1607.00,2736.36,0.00,0.14,-1129.50,-70.29%,20200612.xls
江西11选5,6,1587.00,1481.04,80.00,0.00,105.96,6.68%,20200612.xls
传统欢乐生肖,3,1542.00,1523.35,0.00,22.43,-3.78,-0.25%,20200612.xls
传统5分赛车,2,1077.00,912.78,0.00,0.00,164.22,15.25%,20200612.xls
六合秒秒,4,1002.00,870.49,0.00,8.57,122.95,12.27%,20200612.xls
3分彩,4,896.50,965.30,0.00,0.00,-68.80,-7.67%,20200612.xls
百人炸金花,2,890.00,761.10,0.00,9.90,119.00,13.37%,20200612.xls
河北快3,7,629.00,442.62,109.00,0.10,186.28,29.62%,20200612.xls
广西快3,7,352.00,249.48,0.00,0.04,102.48,29.11%,20200612.xls
吉林快3,8,349.00,545.34,1.00,2.29,-198.63,-56.91%,20200612.xls
5分彩,2,280.00,157.60,90.00,0.00,122.40,43.71%,20200612.xls
百人牌九,1,155.00,183.20,0.00,0.00,-28.20,-18.19%,20200612.xls
射龙门,1,140.00,144.05,0.00,0.00,-4.05,-2.89%,20200612.xls
万人百家乐,1,55.00,100.00,0.00,0.00,-45.00,-81.82%,20200612.xls
百人二八杠,2,50.00,19.80,0.00,0.00,30.20,60.40%,20200612.xls
传统10分赛车,1,2.00,3.96,0.00,0.00,-1.96,-98.00%,20200612.xls
传统10分彩,1,1.00,1.98,0.00,0.00,-0.98,-98.00%,20200612.xls
小计,,9065134.06,8670504.23,97319.40,15776.10,378853.81,4.18%,20200612.xls
1分快3,731,4657936.00,4438883.93,71100.00,5261.83,213790.24,4.59%,20200613.xls
极速快3,166,1389272.00,1318374.01,0.00,1340.33,69557.66,5.01%,20200613.xls
百家乐,9,638835.00,605732.90,0.00,4039.60,29062.50,4.55%,20200613.xls
3分快3,141,369668.00,368322.00,10327.00,263.36,1082.64,0.29%,20200613.xls
疯狂飞艇,29,224360.50,203016.96,3799.20,16.43,21327.11,9.51%,20200613.xls
龙虎斗,40,185445.00,169918.30,0.00,2255.98,13270.73,7.16%,20200613.xls
欢乐生肖,14,147878.12,129145.00,9432.00,12.40,18720.72,12.66%,20200613.xls
1分彩,40,133098.56,125344.19,666.94,22.57,7731.81,5.81%,20200613.xls
5分快3,45,131598.00,132630.32,6900.00,20.20,-1052.52,-0.80%,20200613.xls
1分六合,28,58093.00,57560.42,102.00,64.90,467.68,0.81%,20200613.xls
腾讯1.5分彩,7,41876.30,40203.04,0.00,0.00,1673.26,4.00%,20200613.xls
1分赛车,32,41425.90,40047.02,43.60,5.35,1373.53,3.32%,20200613.xls
传统1分赛车,15,41046.00,42410.37,361.00,99.85,-1464.22,-3.57%,20200613.xls
腾讯时时彩,23,29707.28,32662.92,0.12,0.00,-2955.64,-9.95%,20200613.xls
万人龙虎,13,28955.00,28524.05,0.00,4.93,426.02,1.47%,20200613.xls
梭哈,8,28530.00,28230.50,0.00,37.55,261.95,0.92%,20200613.xls
飞禽走兽,4,26890.00,24592.30,0.00,26.25,2271.45,8.45%,20200613.xls
百人牛牛,7,21310.00,20059.10,0.00,10.50,1240.40,5.82%,20200613.xls
传统1分彩,16,21213.00,26111.81,0.00,9.62,-4908.43,-23.14%,20200613.xls
3分赛车,11,20294.80,20959.83,5596.80,0.72,-665.75,-3.28%,20200613.xls
腾讯3分彩,6,19048.00,20074.60,0.00,0.00,-1026.60,-5.39%,20200613.xls
万人炸金花,2,18360.00,20153.10,0.00,0.00,-1793.10,-9.77%,20200613.xls
极速赛车,18,10275.46,10071.40,0.00,79.78,124.28,1.21%,20200613.xls
1分11选5,14,9577.42,8171.39,548.00,4.67,1401.37,14.63%,20200613.xls
腾讯5分彩,4,8916.60,10460.70,0.00,0.00,-1544.10,-17.32%,20200613.xls
3分彩,3,8002.60,7926.30,0.00,0.00,76.30,0.95%,20200613.xls
万人牛牛,6,6706.00,6720.96,20.00,21.84,-36.80,-0.55%,20200613.xls
红黑大战,6,6550.00,6440.15,0.00,52.91,56.95,0.87%,20200613.xls
传统北京赛车,5,5969.00,4967.09,0.00,0.15,1001.77,16.78%,20200613.xls
传统欢乐生肖,4,5259.00,3682.59,0.00,26.64,1549.77,29.47%,20200613.xls
5分彩,4,5171.28,5866.39,0.00,0.00,-695.11,-13.44%,20200613.xls
传统疯狂飞艇,5,5025.00,5665.80,0.00,2.80,-643.60,-12.81%,20200613.xls
山东11选5,11,4840.60,2689.64,10.00,2.70,2148.26,44.38%,20200613.xls
广东11选5,10,4812.20,4193.90,160.00,0.00,618.30,12.85%,20200613.xls
江苏11选5,7,4380.00,3802.85,180.00,0.00,577.15,13.18%,20200613.xls
森林舞会,3,3235.00,2615.20,0.00,36.40,583.40,18.03%,20200613.xls
万人射龙门,1,3220.00,2826.00,0.00,0.00,394.00,12.24%,20200613.xls
江苏快3,11,2860.00,2432.17,16.00,0.15,427.68,14.95%,20200613.xls
奔驰宝马,4,2815.00,3899.00,0.00,7.08,-1091.08,-38.76%,20200613.xls
万人红黑大战,5,2757.00,2364.75,0.00,9.98,382.27,13.87%,20200613.xls
安徽快3,15,2741.00,3839.04,170.00,0.07,-1098.11,-40.06%,20200613.xls
澳门六合彩,5,2682.00,0.00,0.00,1.00,2681.00,99.96%,20200613.xls
秒秒彩,3,2474.00,1776.30,0.00,0.00,697.70,28.20%,20200613.xls
贵州快3,3,2254.00,1722.60,0.00,0.07,531.33,23.57%,20200613.xls
5分六合,3,2240.00,2358.64,0.00,0.00,-118.64,-5.30%,20200613.xls
传统3分赛车,4,1870.00,2207.42,0.00,5.04,-342.46,-18.31%,20200613.xls
百人牌九,2,1640.00,1512.10,0.00,13.95,113.95,6.95%,20200613.xls
1分幸运28,7,1521.00,1077.64,0.00,0.00,443.36,29.15%,20200613.xls
百人炸金花,2,1420.00,1300.20,0.00,0.00,119.80,8.44%,20200613.xls
上海11选5,7,1309.20,1295.75,0.00,0.00,13.46,1.03%,20200613.xls
传统10分赛车,2,1246.00,1259.28,0.00,0.00,-13.28,-1.07%,20200613.xls
湖北快3,9,1207.00,747.90,48.00,0.11,458.99,38.03%,20200613.xls
北京快3,10,1168.00,625.08,6.00,0.11,542.81,46.47%,20200613.xls
北京赛车,5,1147.00,1724.58,18.00,0.00,-577.58,-50.36%,20200613.xls
江西11选5,4,1139.00,1448.37,120.00,0.00,-309.37,-27.16%,20200613.xls
5分赛车,11,1120.14,1691.73,0.00,3.24,-574.83,-51.32%,20200613.xls
六合秒秒,5,971.00,650.23,0.00,1.53,319.24,32.88%,20200613.xls
骰宝,5,950.00,769.60,0.00,0.10,180.30,18.98%,20200613.xls
上海快3,7,874.00,1031.58,1.00,0.08,-157.66,-18.04%,20200613.xls
广西快3,9,747.00,847.44,80.00,0.12,-100.56,-13.46%,20200613.xls
百人三公,2,745.00,681.85,0.00,0.00,63.15,8.48%,20200613.xls
吉林快3,6,715.00,6490.11,4.00,4.43,-5779.54,-808.33%,20200613.xls
射龙门,2,530.00,576.90,0.00,0.00,-46.90,-8.85%,20200613.xls
甘肃快3,6,472.00,281.97,0.00,0.13,189.90,40.23%,20200613.xls
河北快3,7,311.00,285.04,22.00,0.18,25.78,8.29%,20200613.xls
幸运28,1,200.00,0.00,0.00,0.00,200.00,100.00%,20200613.xls
10分六合,3,87.00,356.70,0.00,0.20,-269.90,-310.23%,20200613.xls
传统5分赛车,4,75.00,103.74,0.00,0.96,-29.70,-39.60%,20200613.xls
百人二八杠,1,35.00,78.80,0.00,0.00,-43.80,-125.14%,20200613.xls
万人百家乐,1,10.00,15.00,0.00,0.00,-5.00,-50.00%,20200613.xls
传统10分彩,1,4.00,1.98,0.00,0.00,2.02,50.50%,20200613.xls
小计,,8409116.96,8024510.52,109731.66,13768.79,370837.71,4.41%,20200613.xls
1分快3,737,4914885.00,4617348.09,86693.00,5995.41,291541.51,5.93%,20200614.xls
极速快3,163,1601163.00,1524637.16,0.00,2332.15,74193.69,4.63%,20200614.xls
3分快3,154,354654.00,338871.74,8422.00,397.59,15384.67,4.34%,20200614.xls
百家乐,8,236765.00,226442.45,0.00,869.65,9452.90,3.99%,20200614.xls
龙虎斗,41,179260.00,165276.20,0.00,2289.87,11693.93,6.52%,20200614.xls
5分快3,43,158429.00,162144.63,410.00,65.35,-3780.98,-2.39%,20200614.xls
1分彩,40,108661.62,103330.50,62.00,92.32,5238.80,4.82%,20200614.xls
欢乐生肖,13,105656.46,120488.12,4000.00,11.50,-14843.16,-14.05%,20200614.xls
1分六合,33,61179.00,59661.95,62.00,52.93,1464.12,2.39%,20200614.xls
飞禽走兽,4,56965.00,47647.30,0.00,57.08,9260.63,16.26%,20200614.xls
疯狂飞艇,31,48101.82,48262.24,1645.20,109.61,-270.03,-0.56%,20200614.xls
万人炸金花,1,47110.00,39715.20,0.00,0.00,7394.80,15.70%,20200614.xls
传统1分赛车,17,46436.00,46298.04,702.00,75.61,62.35,0.13%,20200614.xls
1分赛车,41,46367.94,45825.68,44.40,34.89,507.37,1.09%,20200614.xls
腾讯时时彩,30,31391.52,32336.84,35.36,15.23,-960.55,-3.06%,20200614.xls
传统1分彩,18,30550.00,32006.36,10.00,28.57,-1484.93,-4.86%,20200614.xls
腾讯1.5分彩,7,27369.40,26092.23,140.80,0.00,1277.17,4.67%,20200614.xls
万人牛牛,8,19420.00,18226.24,75.00,92.79,1100.97,5.67%,20200614.xls
极速赛车,17,15327.14,13657.98,0.00,161.53,1507.63,9.84%,20200614.xls
传统北京赛车,5,13989.00,14665.07,51.00,0.00,-676.07,-4.83%,20200614.xls
传统欢乐生肖,4,10192.00,11595.00,70.00,101.01,-1504.01,-14.76%,20200614.xls
百人牛牛,9,9730.00,9402.50,0.00,0.00,327.50,3.37%,20200614.xls
梭哈,10,9325.00,8832.25,0.00,2.70,490.05,5.26%,20200614.xls
3分赛车,10,8312.40,2184.04,0.00,1.54,6126.82,73.71%,20200614.xls
骰宝,9,7085.00,7247.10,0.00,52.40,-214.50,-3.03%,20200614.xls
万人红黑大战,5,6807.00,7462.31,0.00,20.30,-675.61,-9.93%,20200614.xls
森林舞会,2,5350.00,5703.90,0.00,0.00,-353.90,-6.61%,20200614.xls
秒秒彩,2,5246.00,5664.28,0.00,0.00,-418.28,-7.97%,20200614.xls
六合秒秒,7,4875.00,5076.68,0.00,33.39,-235.07,-4.82%,20200614.xls
万人龙虎,11,4735.00,2847.35,5.00,0.09,1887.56,39.86%,20200614.xls
江苏快3,12,4070.00,3261.24,0.00,3.19,805.57,19.79%,20200614.xls
5分六合,3,3813.00,3440.07,0.00,3.52,369.41,9.69%,20200614.xls
安徽快3,13,3297.00,3283.00,105.00,1.11,12.89,0.39%,20200614.xls
上海11选5,5,3289.20,1992.87,0.00,0.00,1296.33,39.41%,20200614.xls
澳门六合彩,5,3249.00,732.16,100.00,1.00,2515.84,77.43%,20200614.xls
百人二八杠,4,3155.00,3431.20,0.00,4.25,-280.45,-8.89%,20200614.xls
腾讯5分彩,5,2420.60,1918.07,146.00,0.00,502.53,20.76%,20200614.xls
湖北快3,8,2309.00,2041.50,340.00,0.64,266.86,11.56%,20200614.xls
吉林快3,4,2295.00,1511.07,190.00,20.84,763.09,33.25%,20200614.xls
万人射龙门,1,2280.00,1638.00,0.00,0.00,642.00,28.16%,20200614.xls
山东11选5,10,2155.48,1790.24,194.00,1.86,363.38,16.86%,20200614.xls
江苏11选5,5,2076.10,1498.46,0.00,0.00,577.64,27.82%,20200614.xls
腾讯3分彩,6,2071.64,2377.33,0.00,0.00,-305.69,-14.76%,20200614.xls
贵州快3,4,1965.00,700.92,0.00,0.08,1264.00,64.33%,20200614.xls
江西11选5,5,1888.00,2101.77,0.00,0.00,-213.77,-11.32%,20200614.xls
5分赛车,13,1852.26,2052.18,10.00,7.80,-207.72,-11.21%,20200614.xls
河北快3,9,1722.00,1284.90,111.00,2.68,434.42,25.23%,20200614.xls
广东11选5,5,1515.00,1987.99,0.00,0.00,-472.99,-31.22%,20200614.xls
奔驰宝马,5,1425.00,1280.60,0.00,0.00,144.40,10.13%,20200614.xls
