彩种名称,投注人数,投注金额,中奖金额,撤单金额,返点金额,盈利,盈率,source_file
山东11选5,9,12788.20,12881.91,1388.00,6.51,-100.22,-0.78%,20200604.xls
安徽快3,17,12778.00,10140.90,0.00,19.89,2617.21,20.48%,20200604.xls
极速赛车,18,11400.52,11489.14,0.00,6.56,-95.18,-0.83%,20200604.xls
传统疯狂飞艇,6,11007.00,7313.05,80.00,9.69,3684.26,33.47%,20200604.xls
3分赛车,14,8589.60,7739.72,433.00,0.00,849.88,9.89%,20200604.xls
百人牛牛,5,7495.00,7400.00,0.00,56.50,38.50,0.51%,20200604.xls
万人牛牛,6,7345.00,6630.66,5.00,2.80,711.54,9.69%,20200604.xls
江苏快3,13,7143.00,8151.04,75.00,3.80,-1011.84,-14.17%,20200604.xls
广西快3,7,6688.00,6695.81,5.00,0.36,-8.17,-0.12%,20200604.xls
梭哈,4,6285.00,6207.60,0.00,0.00,77.40,1.23%,20200604.xls
广东11选5,9,5715.90,5265.20,462.00,0.78,449.92,7.87%,20200604.xls
河北快3,10,5683.00,6547.38,0.00,2.89,-867.27,-15.26%,20200604.xls
传统欢乐生肖,5,5089.00,4724.21,0.00,59.37,305.43,6.00%,20200604.xls
澳门六合彩,6,4895.00,978.00,0.00,1.01,3915.99,80.00%,20200604.xls
腾讯3分彩,6,4885.30,3488.31,151.20,0.36,1396.64,28.59%,20200604.xls
湖北快3,6,4766.00,4037.58,0.00,0.03,728.39,15.28%,20200604.xls
万人射龙门,3,4260.00,4906.25,0.00,0.00,-646.25,-15.17%,20200604.xls
上海快3,5,4013.00,5470.29,5.00,0.06,-1457.35,-36.32%,20200604.xls
贵州快3,8,3579.00,4501.58,0.00,0.44,-923.02,-25.79%,20200604.xls
百家乐,5,3175.00,3078.50,0.00,0.00,96.50,3.04%,20200604.xls
吉林快3,8,3137.00,1722.25,60.00,3.55,1411.20,44.99%,20200604.xls
5分彩,2,2431.10,1382.80,0.00,0.00,1048.30,43.12%,20200604.xls
腾讯5分彩,5,2020.12,1772.10,0.00,0.00,248.02,12.28%,20200604.xls
北京快3,4,1519.00,1930.25,0.00,0.19,-411.44,-27.09%,20200604.xls
甘肃快3,7,1494.00,2040.32,200.00,0.10,-546.42,-36.57%,20200604.xls
江苏11选5,5,1467.74,1318.68,10.00,0.00,149.06,10.16%,20200604.xls
